checked_by,checked,entered_by,entered_date,collected_by,collected_date,row,column,position,transect,point,hitnumber_1,hitnumber_2,hitnumber_3,hitnumber_4,hitnumber_5,notes,correction_notes,hitnumber_6
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2.1,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2.2,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2.3,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2.4,brodia,bromad,eromos,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2.5,eromos,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2.6,brodia,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2.7,brodia,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2.8,brodia,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,2,2.9,bromad,brodia,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0,brator,bromad,amsmen,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0.1,bromad,amsmen,schbar,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0.2,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0.3,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0.4,bromad,brodia,brator,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0.5,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0.6,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0.7,hormur,bromad,schbar,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0.8,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,0.9,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1,brator,hormur,schbar,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1.1,bromad,hormur,brator,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1.2,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1.3,brodia,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1.4,bromad,bg,,,,HOLE,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1.5,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1.6,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1.7,brodia,bromad,schbar,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1.8,brodia,bromad,cryint,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,1.9,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2.1,brodia,brator,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2.2,brodia,schbar,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2.3,bromad,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2.4,bromad,brodia,bg,,,HOLE,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2.5,bromad,hormur,eromos,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2.6,bromad,brodia,eromos,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2.7,bromad,brodia,eromos,bg,,HOLE,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2.8,bromad,brodia,eromos,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"AR, AH",2023-03-06,A,1,U,3,2.9,brodia,bromad,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0.1,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0.2,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0.3,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0.4,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0.5,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0.6,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0.7,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0.8,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,0.9,brodia,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1.1,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1.2,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1.3,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1.4,brodia,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1.5,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1.6,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1.7,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1.8,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,1.9,hormur,bromad,luptru,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2.1,hormur,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2.2,brodia,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2.3,amsmen,brodia,brator,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2.4,brodia,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2.5,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2.6,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2.7,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2.8,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,1,2.9,brodia,hormur,bromad,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0,brodia,hormur,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0.1,brodia,bromad,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0.2,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0.3,hormur,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0.4,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0.5,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0.6,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0.7,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0.8,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,0.9,brodia,amsmen,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1,brodia,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1.1,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1.2,brodia,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1.3,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1.4,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1.5,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1.6,brodia,amsmen,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1.7,bromad,brodia,amsmen,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1.8,bromad,amsmen,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,1.9,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2,bromad,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2.1,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2.2,brodia,bromad,hormur,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2.3,brator,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2.4,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2.5,brodia,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2.6,brodia,bromad,hormur,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2.7,brodia,bromad,hormur,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2.8,brodia,hormur,brator,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,2,2.9,brodia,hormur,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0,hormur,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0.1,bromad,brodia,hormur,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0.2,crysp,bg,,,,,Cryptantha sp too early in phenology to identify.,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0.3,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0.4,brodia,bromad,brator,amsmen,lit,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0.5,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0.6,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0.7,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0.8,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,0.9,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1.1,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1.2,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1.3,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1.4,brodia,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1.5,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1.6,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1.7,brodia,brator,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1.8,brodia,hormur,brator,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,1.9,brodia,hormur,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2,amsmen,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2.1,brodia,bromad,amsmen,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2.2,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2.3,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2.4,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2.5,brodia,brator,bromad,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2.6,brodia,brator,bromad,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2.7,brator,bromad,brodia,hormur,bg,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2.8,brator,bromad,brodia,hormur,bg,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,2,U,3,2.9,brator,brodia,bromad,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0,bromad,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0.1,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0.2,brodia,bromad,hormur,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0.3,bromad,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0.4,bromad,brodia,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0.5,brodia,amsmen,bromad,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0.6,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0.7,brodia,bromad,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0.8,brodia,bromad,amsmen,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,0.9,brodia,amsmen,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1,amsmen,hormur,brodia,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1.1,amsmen,bromad,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1.2,bromad,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1.3,bromad,brodia,brator,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1.4,bromad,brodia,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1.5,brodia,bromad,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1.6,bromad,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1.7,brodia,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1.8,brodia,bromad,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,1.9,brodia,bromad,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2.1,amsmen,brodia,lit,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2.2,brodia,bromad,amsmen,eromos,lit,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2.3,brodia,bromad,amsmen,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2.4,bromad,amsmen,brodia,brator,bg,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2.5,brator,brodia,bromad,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2.6,brator,brodia,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2.7,brodia,brator,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2.8,brodia,bromad,brator,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,1,2.9,brodia,lit,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,2,0,hormur,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,2,0.1,hormur,bg,,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,2,0.2,brodia,bromad,bg,,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,2,0.3,brodia,bromad,lupbic,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,2,0.4,bromad,cryint,brodia,lit,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,2,0.5,brodia,bromad,lupbic,cryint,lit,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,2,0.6,brodia,schbar,cryint,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,2,0.7,brodia,bromad,amsmen,bg,,,,
Joanna,y,Gabrielle,2023-05-02,"CI, MF",2023-03-06,A,3,U,2,0.8,bromad,brodia,bg,,,,,
